編號,英文,中文
183,silver,(adj.6)銀的;銀白的
184,simple,(adj.6)簡單的
185,six,(adj.3)六的
186,sixteen,(adj.7)十六的
187,sixty,(adj.5)六十的
188,slow,(adj.4)緩慢的
189,small,(adj.5)小的
190,smart,(adj.5)聰明的
191,soft,(adj.4)柔軟的
192,some,(adj.4)一些的
193,sorry,(adj.5)抱歉;遺憾的
194,sound,"(adj.5)完好的;堅固的;合理的,明智的;殷實的"
195,sour,(adj.4)酸的
196,south,(adj.5)南方的
197,special,(adj.7)特別的
198,still,(adj.5)靜止的
199,strange,(adj.7)奇怪的
200,strong,(adj.6)強壯的
201,stupid,(adj.6)笨的
202,such,(adj.4)如此的
203,super,(adj.5)超級的
204,sure,(adj.4)確定
205,sweet,(adj.5)甜的
206,tall,(adj.4)高的
207,ten,(adj.3)十的
208,that,(adj.4)那;那個
209,then,(adj.4)當時的
210,these,(adj.5)這些 (this 的複數)
211,third,(adj.5)第三
212,thirteen,(adj.8)十三的
213,thirty,(adj.6)三十的
214,this,(adj.4)這
215,those,(adj.5)那些的;那
216,thousand,(adj.8)千的
217,three,(adj.5)三的
218,tiny,(adj.4)微小的
219,top,(adj.3)最高的
220,total,(adj.5)總的
221,TRUE,(adj.4)真實的;正確的
222,twelve,(adj.6)十二的
223,twenty,(adj.6)二十的
224,two,(adj.3)二的
225,up,(adj.2)向上的;上行的
226,upstairs,(adj.8)樓上的
227,useful,(adj.6)有用的
228,warm,(adj.4)溫暖的
229,weak,(adj.4)虛弱的
230,welcome,(adj.7)受歡迎的;令人愉快的;被允許的
231,well,(adj.4)健康的
232,west,(adj.4)西方的
233,what,"(adj.4)什麼;多麼,何等"
234,which,"(adj.5)哪一個,哪一些;這個,這些"
235,white,(adj.5)白色的
236,whole,(adj.5)完整的
237,wide,"(adj.4)寬的,廣泛的"
238,worse,"(adj.5)更壞的,更差的"
239,worst,(adj.5)最壞的;最差的
240,wrong,(adj.5)錯誤的
241,yellow,(adj.6)黃色的
242,young,(adj.5)年輕的
243,yucky,(adj.5)討人厭的;噁心的
244,yummy,(adj.5)好吃的
245,act,(v.3)扮演
246,add,(v.3)添加
247,address,(v.7)寫上收件人姓名地址;向...致詞
248,age,(v.3)使變老;使(酒之)味道變醇;使成熟
249,agree,(v.5)同意
250,allow,(v.5)允許
251,am,"(v.2)是,在; be 動詞第一人稱,單數,現在式"
252,answer,(v.6)回答
253,ape,(v.3)模仿
254,appear,(v.6)出現
255,are,"(v.3)是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式"
256,ask,(v.3)問
257,back,(v.4)向後;追溯;回覆;贊助
258,ball,(v.4)使成球形; 呈球狀
259,balloon,(v.7)像氣球般鼓起(或膨脹);乘氣球上升;激增
260,bank,(v.4)存(款)於銀行;築堤防護;堆積
261,bar,(v.3)閂住;阻攔;禁止
262,base,(v.4)以...為基地
263,bat,(v.3)揮打;眨(眼)
264,bathe,(v.5)洗澡
265,be,(v.2)是;要;有;在
266,beach,(v.5)將(船等)拖上岸
267,beat,(v.4)擊敗;敲擊
268,become,(v.6)變成
269,begin,(v.5)開始
270,believe,(v.7)相信
271,belong,(v.6)屬於
272,best,(v.4)打敗;勝過
273,better,(v.6)改善;提高;超過;變得較好
274,bite,(v.4)咬
275,block,(v.5)阻塞
276,blow,(v.4)吹
277,book,(v.4)預訂;預雇;預約;登記
278,bottom,"(v.6)基於,根據;到達底部;降至最低點"
279,box,(v.3)把...裝箱(或盒等)
280,break,(v.5)斷裂;中斷;打破（記錄）
281,breakfast,(v.9)吃早餐; 為...供應早餐
282,bridge,(v.6)架橋於;把...連結(或彌合)起來
283,bring,(v.5)帶來
284,brown,(v.5)變成褐色(或棕色)
285,bug,(v.3)在...安裝竊聽器;煩擾;激怒
286,build,(v.5)建造;蓋
287,bus,(v.3)用公車運送
288,busy,(v.4)使忙於
289,butter,(v.6)塗奶油於;以花言巧語討好
290,buy,(v.3)買
291,cage,(v.4)把...關進籠子;把...囚禁起來
292,call,(v.4)喊;打電話
293,camp,(v.4)露營
294,can,"(v.3)能,會;可能;可以;必須"
295,cap,(v.3)給...戴帽;加蓋於
296,care,(v.4)關心;照顧
297,carry,(v.5)提;搬運
298,case,(v.4)把...裝入箱(或容器)中
299,catch,(v.5)接(球);捕獲
300,cause,"(v.5)導致,使發生,引起"
301,center,(v.6)集中;居中
302,chair,(v.5)主持(會議);任(會議的)主席
303,chance,(v.6)冒...的險;賭(錢); 碰巧
304,chart,(v.5)繪製...的圖表;詳細計劃
305,chase,(v.5)追
306,check,(v.5)檢查
307,class,(v.5)把...分類;把...分等級
308,clean,(v.5)打掃
309,clear,(v.5)使乾淨;收拾;交換票據
310,climb,(v.5)爬;攀登
311,close,(v.5)關上
312,cloud,(v.5)陰雲密佈;變暗;變模糊;變混濁
313,coat,(v.4)塗在...上;給...穿上外套
314,color,(v.5)著色;渲染;文飾;歪曲;影響
315,come,(v.4)到來
316,continue,(v.8)繼續
317,cook,(v.4)煮
318,cool,(v.4)使涼快;使冷卻
319,correct,(v.7)改正;糾正
320,cost,(v.4)花費
321,count,(v.5)計算;數
322,course,(v.6)(用獵犬)追獵;追逐
323,cover,(v.5)蓋住
324,cry,(v.3)哭叫
325,cup,(v.3)使(手掌)成杯狀;把...放入杯內
326,cut,(v.3)切割;剪
327,dance,(v.5)跳舞
328,darken,(v.6)使變暗;變黑
329,date,(v.4)約會
330,deal,(v.4)處理;對付;對待[(+with)]
331,decide,(v.6)決定
332,die,(v.3)死
333,dig,(v.3)挖掘
334,direct,(v.6)指引
335,dirty,(v.5)弄髒; 變髒
336,discover,(v.8)發現
337,dish,(v.4)盛...於盤中
338,do,(v.2)做
339,down,(v.4)擊倒
340,draw,(v.4)畫;繪製;描寫
341,dream,(v.5)做(夢);想像
342,drink,(v.5)喝
343,drive,(v.5)開車
344,dry,(v.3)曬乾;風乾
345,duck,(v.4)躲避;迴避
346,ease,(v.4)減輕
347,eat,(v.3)吃
348,edge,(v.4)使鋒利;使漸進
349,end,(v.3)結束
350,enter,(v.5)輸入;進入
351,equal,(v.5)等於
352,even,(v.4)使平坦;弄平;使相等
353,examine,(v.7)檢查;測驗
354,except,(v.6)把...除外;反對
355,eye,(v.3)看;注視;審視
356,face,(v.4)面向;正對;正視;朝;向
357,fall,(v.4)掉下
358,fan,(v.3)扇;煽動;激起
359,farm,(v.4)耕作;養殖;經營農場;從事畜牧業
360,father,(v.6)做...的父親; 創始;創立
361,fear,(v.4)畏懼
362,feed,(v.4)吃;餵養
363,feel,(v.4)感覺
364,fight,(v.5)打架;作戰
365,fill,(v.4)充滿;填充
366,find,(v.4)找到
367,fine,(v.4)使純;澄清;使精細
368,finger,(v.6)撥弄;指出;告密;告發
369,finish,(v.6)完成
370,fire,"(v.4)解雇,開除;點燃; 開火;射擊"
371,fish,(v.4)釣魚
372,floor,(v.5)在...鋪設地板;使大為震驚
373,flower,"(v.6)開花;發育,成熟;繁榮"
374,fly,(v.3)飛
375,fog,(v.3)以霧籠罩;使困惑;使模糊
376,follow,(v.6)遵循;跟隨
377,foot,"(v.4)支付(帳單或費用);合計為,總計"
378,force,(v.5)強迫
379,forget,(v.6)忘記
380,fork,"(v.4)分歧,分叉"
381,free,(v.4)使自由;解放;使解脫
382,front,(v.5)向前;在前面;面對
383,fruit,(v.5)結果實; 使結果實
384,garden,"(v.6)從事園藝,在園中種植;"
385,gas,(v.3)放出氣體;加油;空談;吹牛
386,get,(v.3)得到;拿到
387,give,(v.4)給
388,go,(v.2)去;走
389,gray,(v.4)使成灰色(或灰白)
390,green,(v.5)使成為綠色
391,grey,(v.4)使成灰色
392,ground,"(v.6)使擱淺;使停飛;依靠,根據,基於"
393,group,(v.5)把...分組(或歸類)
394,grow,(v.4)種植;成長
395,guess,(v.5)猜
396,guest,"(v.5)款待,招待"
397,guide,(v.5)引導
398,gun,(v.3)用槍射擊
399,hand,"(v.4)面交,給,傳遞"
400,happen,(v.6)發生
401,hate,(v.4)憎恨
402,have,(v.4)有
403,head,"(v.4)率領;出發,駛往"
404,hear,(v.4)聽見
405,heat,(v.4)把...加熱;使暖;使激動;刺激
406,help,(v.4)幫忙
407,hit,(v.3)打;擊
408,hold,(v.4)拿著
409,hole,"(v.4)鑿洞於,穿孔於;進入洞中"
410,home,(v.4)回家;為...提供住處
411,hope,(v.4)希望
412,house,(v.5)給...房子住
413,hurt,(v.4)傷害;使疼痛
414,inch,(v.4)使緩慢地移動
415,interest,(v.8)使發生興趣
416,iron,(v.4)熨燙
417,is,"(v.2)是,在; be 動詞第三人稱,單數,現在式"
418,join,(v.4)加入
419,joke,(v.4)開玩笑
420,jump,(v.4)跳躍
421,keep,(v.4)保留;保持
422,key,(v.3)鎖上;插上;為...調音;用鍵盤輸入
423,kick,(v.4)踢
424,kid,(v.3)戲弄
425,kill,(v.4)殺
426,kiss,(v.4)親吻
427,knee,(v.4)用膝蓋碰(撞)
428,knife,"(v.5)(用刀)切;戮,刺"
429,know,(v.4)知道
430,lack,(v.4)缺乏
431,lamb,(v.4)產羔羊
432,land,(v.4)登陸
433,last,(v.4)持續
434,laugh,(v.5)笑
435,lay,(v.3)置放;產卵
436,lead,(v.4)引導
437,leaf,(v.4)匆匆翻閱; 生葉片
438,learn,(v.5)學習
439,leave,(v.5)離開;丟下
440,let,(v.3)讓
441,lie,(v.3)說謊;躺
442,lift,(v.4)舉起
443,light,(v.5)點(火);點燃;照亮
444,like,(v.4)喜歡
445,line,(v.4)排隊
446,list,(v.4)列成表
447,listen,(v.6)傾聽
448,live,(v.4)居住
449,long,(v.4)長久地;始終; 渴望
450,look,(v.4)看
451,love,"(v.4)愛好,喜歡"
452,lunch,(v.5)吃午餐
453,machine,(v.7)用機器做
454,mail,(v.4)寄信
455,make,(v.4)製造; 使得
456,man,(v.3)給...配置人員
457,map,(v.3)繪製...的地圖;詳細計劃
458,market,(v.6)(在市場上)銷售
459,marry,(v.5)結婚
460,master,(v.6)精通
461,matter,"(v.6)有關係,要緊"
462,mean,(v.4)意指
463,meet,(v.4)遇見
464,middle,(v.6)放在中間;對摺
465,milk,(v.4)擠(奶);榨取;偷聽電訊
466,mind,(v.4)介意
467,miss,(v.4)想念;惦記;未達到
468,mistake,"(v.7)弄錯,誤解;弄錯,搞錯"
469,mother,(v.6)生下;產生出
470,mouth,(v.5)誇大地說話
471,move,(v.4)移動
472,name,(v.4)給...取名;列舉
473,near,"(v.4)近,接近;幾乎,差不多"
474,neck,(v.4)摟著脖子親吻;變細;變狹窄
475,need,(v.4)需要
476,nose,"(v.4)探問,探著;引導;嗅,聞"
477,note,(v.4)注意;記下
478,notice,(v.6)注意到;通知
479,number,"(v.6)編號,總數達到,共計"
480,nurse,"(v.5)看護,護理;給...餵奶;培育;當奶媽"
481,O.K.,(v.4)尚可;挺好;批准
482,oil,(v.3)給...加潤滑油;賄賂
483,OK,(v.2)尚可;挺好;批准
484,okay,"(v.4)對,很好地;批准,認可"
485,open,(v.4)打開
486,order,(v.5)點菜;訂購
487,out,(v.3)出現;問世;顯露
488,own,(v.3)擁有
489,paint,(v.5)畫圖;油漆
490,pair,"(v.4)成對,配對"
491,paper,"(v.5)用紙包;掩蓋,粉飾"
492,park,(v.4)停放車輛; 放置
493,part,"(v.4)使分開,使分離;斷裂;告別"
494,party,(v.5)開派對;參加派對
495,pass,(v.4)及格;經過;超過;傳遞
496,pay,(v.3)付錢
497,pen,(v.3)寫;寫作;囚禁
498,pencil,"(v.6)草擬,起草"
499,people,"(v.6)使人住在,居住於"
500,pet,(v.3)把...當作寵兒;寵愛;撫弄;生氣
501,picture,"(v.7)畫,拍攝;描述"
502,piece,(v.5)拼湊;拼合;修理;修補
503,pig,(v.3)生小豬;像豬一樣過活
504,place,"(v.5)放置,安置;任命"
505,plan,(v.4)計劃
506,plant,(v.5)栽種;播種
507,play,(v.4)玩
508,please,(v.6)請;取悅
509,pocket,(v.6)侵吞;擊(球)落袋;忍受
510,point,(v.5)瞄準;指出;強調;對準
511,police,"(v.6)管理,監督"
512,pool,"(v.4)合辦,聯營"
513,position,(v.8)把...放在適當位置
514,power,(v.5)給...提供動力; 快速前進
515,practice,(v.8)練習;訓練
516,prepare,(v.7)準備
517,price,(v.5)給...定價
518,print,(v.5)印刷;用印刷體寫
519,prove,"(v.5)證明,證實"
520,pull,(v.4)拉
521,push,(v.4)推開
522,put,(v.3)放置
523,question,(v.8)詢問
524,quiet,"(v.5)使安靜;撫慰,安慰"
525,race,(v.4)與...賽跑
526,radio,(v.5)用無線電傳送
527,rain,(v.4)下雨
528,raise,(v.5)舉起;提高
529,reach,(v.5)到;伸出
530,read,(v.4)閱讀
531,ready,"(v.5)預先,事先;使準備好"
532,reason,"(v.6)推論,推理"
533,receive,(v.7)收到
534,remember,(v.8)記得
535,report,(v.6)報告;報導
536,rest,(v.4)休息
537,return,(v.6)回;還
538,ride,(v.4)騎;乘
539,ring,"(v.4)(鐘,鈴等)鳴,響"
540,rise,(v.4)起身;升起
541,roll,(v.4)捲;滾
542,roof,"(v.4)給...蓋屋頂,覆蓋"
543,room,(v.4)居住; 為...提供住處
544,root,(v.4)使生根;使紮根
545,rope,"(v.4)捆,紮,縛,綁"
546,round,"(v.5)變圓;發胖;兜圈子,環行"
547,row,(v.3)划船
548,rub,(v.3)磨擦
549,rule,(v.4)統治;裁決
550,run,(v.3)跑
551,sail,(v.4)航行
552,salt,(v.4)給...加鹽;用鹽醃
553,sand,(v.4)磨光;以沙堵塞
554,save,(v.4)救;省;存錢
555,saw,(v.3)鋸;鋸開
556,say,(v.3)說
557,scare,"(v.5)驚嚇,使恐懼"
558,school,"(v.6)教育,訓練"
559,seat,(v.4)使就座
560,see,(v.3)看見
561,seed,"(v.4)(植物)結實,結子;播種"
562,seem,(v.4)似乎是
563,seesaw,(v.6)玩蹺蹺板;上下(來回)搖動
564,sell,(v.4)賣
565,send,(v.4)寄發;送
566,sense,"(v.5)意識到;了解,領會"
567,sentence,(v.8)宣判;判決
568,serve,(v.5)服務
569,service,"(v.7)維修,保養"
570,set,(v.3)安放;沒入
571,shake,(v.5)搖動;握(手)
572,shape,"(v.5)使成形;塑造,製作"
573,shine,(v.5)照耀
574,ship,"(v.4)用船運;郵寄;解雇;上船,乘船"
575,shop,(v.4)購物
576,shoulder,"(v.8)肩起,挑起;擔負,承擔"
577,shout,(v.5)呼叫
578,show,(v.4)表演;顯示
579,shut,(v.4)關閉
580,sight,"(v.5)看見,發現;瞄準;察看"
581,sing,(v.4)唱歌
582,sit,(v.3)坐
583,size,(v.4)按一定尺寸製作;估算
584,skin,(v.4)植皮;癒合;脫皮
585,sleep,(v.5)睡覺
586,slow,"(v.4)使慢,放慢"
587,smell,(v.5)聞
588,smile,(v.5)微笑
589,smoke,(v.5)抽煙;冒煙
590,snake,(v.5)蛇行
591,snow,(v.4)下雪
592,soap,(v.4)用肥皂擦洗;向...灌迷魂湯
593,soil,(v.4)弄髒
594,sound,(v.5)聽起來
595,sour,(v.4)使變酸;厭煩;變壞
596,space,(v.5)隔開
597,speak,(v.5)說;講
598,spell,(v.5)拼字
599,spend,(v.5)花費(錢或時間)
600,spoon,(v.5)用匙舀;舀取
601,sport,"(v.5)炫耀;誇示;遊戲,;開玩笑,嘲弄;突變"
602,stand,(v.5)站住; 堅持; 面對; 承擔...任務
603,star,(v.4)主演;表現出色
604,start,(v.5)開始
605,state,(v.5)陳述
606,station,"(v.7)駐紮,部署,配置"
607,stay,(v.4)停留
608,step,(v.4)跨(步);踏(腳)
609,stone,(v.5)用石頭鋪;用磨刀石磨
610,stop,(v.4)停止
611,store,(v.5)貯存;收存;供應;蓄有
612,study,(v.5)學習;讀書
613,sugar,(v.5)加糖於;粉飾
614,sun,"(v.3)曬,曝; 曬太陽"
615,surprise,(v.8)使驚奇
616,swim,(v.4)游泳
617,tail,"(v.4)尾隨;盯梢;變少,縮小"
618,take,(v.4)拿;帶;採用
619,talk,(v.4)講話
620,taste,(v.5)嘗
621,teach,(v.5)教
622,tell,(v.4)告訴
623,thank,(v.5)感謝
624,think,(v.5)想
625,throw,(v.5)投;拋
626,ticket,(v.6)加標籤於;開違規罰單
627,tie,(v.3)綁;繫
628,time,(v.4)記錄...的時間;使合拍子
629,tire,(v.4)疲勞
630,tool,(v.4)使用工具
631,top,(v.3)向高處升;達到頂點;高出;超越
632,total,"(v.5)總計,合計"
633,touch,(v.5)觸摸
634,toy,"(v.3)玩弄,戲耍;調情,調戲"
635,train,"(v.5)訓練,培養;瞄準; 接受訓練,鍛鍊"
636,trip,"(v.4)絆,絆倒;失足,犯錯誤;旅行"
637,trouble,(v.7)麻煩;煩惱;費心
638,TRUE,"(v.4)配準,擺正"
639,try,(v.3)試做
640,turn,(v.4)轉
641,understand,(v.10)了解
642,up,(v.2)提高;增加;舉起;突然站起
643,use,(v.3)利用
644,view,(v.4)察看;將...看成是
645,visit,(v.5)訪問
646,voice,"(v.5)(用言語)表達,說出"
647,wait,(v.4)等候
648,walk,(v.4)走路
649,wall,(v.4)用牆圍住
650,want,(v.4)想要
651,war,"(v.3)戰爭,打仗;鬥爭;對抗"
652,warm,(v.4)使暖和
653,wash,(v.4)洗
654,waste,(v.5)浪費
655,watch,(v.5)注意看
656,water,(v.5)給...澆水;加水稀釋;流口水
657,wear,"(v.4)穿著, 磨損, 使力竭"
658,weather,(v.7)經受到;使風化;褪色;損壞
659,weekend,(v.7)度週末
660,weigh,(v.5)稱...的重量
661,welcome,(v.7)歡迎
662,while,"(v.5)消磨(時光),輕鬆地度過"
663,will,"(v.4)將;願,要;能;願意"
664,win,(v.3)贏得
665,wind,"(v.4)纏繞;包,裹;蜿蜒;迂迴"
666,wine,(v.4)喝酒
667,wish,(v.4)祝福
668,word,(v.4)用言詞表達
669,work,(v.4)工作; 運轉
670,worm,(v.4)蠕動;潛行;鑽入
671,worry,(v.5)擔心
672,worst,"(v.5)最壞地,最惡劣地;最不利地"
673,write,(v.5)寫
674,wrong,"(v.5)冤枉,委屈;無禮地對待"
675,yellow,"(v.6)使變黃,使發黃"
676,zero,(v.4)把...調整歸零
677,can,(v.3)能
678,cannot,(v.6)不能
679,do,"(v.2)構成否定句,疑問句,或強調句"
680,have,(v.4)已經
681,may,(v.3)可能
682,must,(v.4)必須
683,need,"(v.4)(用於疑問句和否定句)需要,必須"
684,shall,(v.5)將;應該
685,will,(v.4)將
686,about,(adv.5)在四周;在附近;大約
687,above,(adv.5)在上面;在上文;更高
688,across,(adv.6)橫過;寬;在對面;向對面
689,after,"(adv.5)以後,之後;在後面,隨後"
690,again,(adv.5)再一次
691,ago,(adv.3)以前
692,ahead,(adv.5)在前;向前;預先;事前
693,all,(adv.3)完全地;(比分等)雙方相等
694,almost,(adv.6)幾乎
695,alone,(adv.5)單獨地;獨自地
696,along,(adv.5)向前;一起;帶著;來到;去到
697,already,(adv.7)已經
698,also,(adv.4)也
699,always,(adv.6)總是
700,any,"(adv.3)(用於疑問句,否定句,if子句中)少許,稍微"
701,around,"(adv.6)到處,四處;周圍,附近;環繞;大約"
702,as,"(adv.2)跟...一樣地,同樣地;如同;例如"
703,away,(adv.4)離開
704,back,(adv.4)回原處
705,before,(adv.6)較早;以前;曾經;在前;向前
706,behind,(adv.6)在背後;向背後;遲;落後
707,below,(adv.5)在下面;到下面
708,best,(adv.4)最好地;最適當地;最;極
709,better,(adv.6)更好地;更適當地
710,between,(adv.7)在中間;介乎兩者之間
711,both,(adv.4)並;又;兩者皆
712,bright,(adv.6)明亮地;歡快地
713,but,"(adv.3)只,僅僅,才;絕對地"
714,by,(adv.2)經過;過去;在旁邊
715,clean,"(adv.5)完全地,全然地;乾淨地"
716,clear,"(adv.5)清晰地,明瞭地"
717,close,"(adv.5)接近,靠近地;緊密地,緊緊地"
718,dear,"(adv.4)疼愛地;高價地,昂貴地"
719,deep,"(adv.4)深深地;晚,遲"
720,direct,(adv.6)筆直地;直接地;直達地
721,down,"(adv.4)向下;下降;(境況)變差;減少,減弱"
722,downstairs,(adv.10)樓下地
723,each,(adv.4)各個(地);各自(地);每一個
724,early,(adv.5)早;提早
725,east,(adv.4)向東方
726,either,(adv.6)也
727,else,"(adv.4)其他,另外;否則,要不然"
728,enough,"(adv.6)足夠地;充分地;很,十分"
729,even,(adv.4)即使
730,ever,(adv.4)從來;曾經
731,far,(adv.3)遠;遙遠地;久遠地
732,fast,"(adv.4)快,迅速;緊緊地,牢固地;接近著"
733,fine,(adv.4)細微地;精巧地;很好地;妙
734,first,"(adv.5)先,首先;第一;首次"
735,free,(adv.4)免費地;無約束地;鬆開著;脫開著
736,good,(adv.4)(非正式) well
737,half,(adv.4)部分地;相當地;一半地;幾乎
738,hard,(adv.4)辛苦地;猛烈地;牢固地
739,here,(adv.4)在這裡
740,high,(adv.4)高;強烈地;高聲地
741,home,(adv.4)在家;回家;到家
742,how,(adv.3)如何
743,in,(adv.2)進;在裡頭;在家
744,inside,(adv.6)在裡面;往裡面
745,just,(adv.4)正好;剛才
746,last,(adv.4)最後地
747,late,"(adv.4)遲到,來不及;晚"
748,least,(adv.5)最小;最少;最不
749,left,(adv.4)在左邊;向左
750,less,"(adv.4)較小地,較少地;不如"
751,light,(adv.5)輕地;輕裝地
752,likely,(adv.6)很可能
753,little,(adv.6)一點點
754,long,(adv.4)長久地;始終
755,loud,"(adv.4)大聲地,響亮地"
756,low,"(adv.3)低,向下地;低聲地;低價地"
